Tipo,Numero,Data,Nivel,Ementa
Resolução CONAMA,,28/06/1990,Federal,"Dispõe sobre padrões de qualidade do ar, previstos no PRONAR."
Deliberação Normativa COPAM,"3,00",16/12/1986,Estadual,Estabelece normas e padrões para emissões de poluentes na atmosfera e dá outras providências.
Decreto Estadual,"11,00",14/01/2004,Estadual,"Regulamenta a Lei nº 14.181, de 17 de janeiro de 2002, que dispõe sobre a política de proteção à fauna e à flora aquáticas e de desenvolvimento da pesca e da aqüicultura no Estado e dá outras providências."
Deliberação Normativa COPAM,43.713,08/09/2004,Estadual,"Dispõe sobre a caracterização da Mata Atlântica no Estado de Minas Gerais, as normas de utilização da vegetação nos seus domínios e dá outras providências."
Deliberação Normativa CERH-MG,"73,00",04/11/2002,Estadual,"Estabelece a classificação dos empreendimentos quanto ao porte e potencial poluidor, tendo em vista a legislação de recursos hídricos do Estado de Minas Gerais, e dá outras providências."
Deliberação Normativa CERH-MG,"7,00",18/02/2002,Estadual,"Estabelece diretrizes para a formação e funcionamento de Comitês de Bacia Hidrográfica, e dá outras providências."
Resolução CONAMA,"4,00",20/08/1997,Federal,Regulamenta o uso de Substâncias Controladas que destroem a Camada de Ozônio.
Portaria IGAM,"229,00",04/04/2000,Estadual,Dispõe sobre a publicidade dos pedidos de outorga de direito de uso de recursos hídricos do Estado para fins do exercício do direito de impugnação.
Decreto Estadual,"1,00",07/08/1990,Estadual,"Acrescenta inciso ao artigo 2º do Decreto nº 31.297, de 31 de maio de 1990, que cria Grupo de Trabalho com a incumbência de estudar e propor medidas para recuperação do Rio São Francisco."
Decreto Estadual,31.652,31/05/1990,Estadual,Cria grupo de trabalho.
Decreto Estadual,31.297,10/06/1996,Estadual,Dispõe sobre a criação do Grupo Coordenador de Fiscalização Ambiental Integrada - GCFAI e dá outras providências.
Decreto Estadual,38.070,29/07/1996,Estadual,"Institui o Sistema de Gestão Colegiada para as Áreas de Proteção Ambiental - APA'S, administradas pelo Sistema de Meio Ambiente do Estado de Minas Gerais."
Decreto Estadual,38.182,05/02/1998,Estadual,"Declara de interesse comum, de preservação permanente e imune de corte o pinheiro brasileiro."
Decreto Estadual,39.429,04/01/2000,Estadual,Cria Grupo de Trabalho para a implantação da Usina Termo-Elétrica de Ibirité.
